School,Enrollment,Up to date,Up to date %,Conditional,PME,PBE,PBE (Religious),City
JONAS E. SALK ELEMENTARY,142,138,97,2,0,2,0,ANAHEIM
SANTIAGO ELEMENTARY,142,132,93,9,0,1,0,SANTA ANA
MECCA ELEMENTARY,142,142,100,0,0,0,0,MECCA
LISA J. MAILS ELEMENTARY,142,130,92,1,0,11,0,MURRIETA
BEECH AVENUE ELEMENTARY,142,138,97,1,0,3,3,FONTANA
EMMERTON ELEMENTARY,142,141,99,0,0,1,0,SAN BERNARDINO
DEL REY ELEMENTARY,142,127,89,10,0,5,5,VICTORVILLE
STEVENSON ELEMENTARY,141,138,98,3,0,0,0,LONG BEACH
ELLEN OCHOA LEARNING CENTER,141,105,74,36,0,0,0,CUDAHY
HOOVER STREET ELEMENTARY,141,102,72,39,0,0,0,LOS ANGELES
NINETY-SECOND STREET ELEMENTARY,141,109,77,32,0,0,0,LOS ANGELES
CAMELLIA AVENUE ELEMENTARY,141,137,97,4,0,0,0,NORTH HOLLYWOOD
GEORGE DE LA TORRE JR. ELEMENTARY,141,8,6,132,0,1,1,WILMINGTON
TODAY'S FRESH START CHARTER,141,141,100,0,0,0,0,LOS ANGELES
LEONA H. COX COMMUNITY ELEMENTARY,141,76,54,60,0,5,0,CANYON COUNTRY
DOROTHY GRANT ELEMENTARY,141,139,99,2,0,0,0,FONTANA
EDISON ELEMENTARY,140,137,98,3,0,0,0,LONG BEACH
ERWIN ELEMENTARY,140,137,98,3,0,0,0,VAN NUYS
COEUR D'ALENE AVENUE ELEMENTARY,140,72,51,58,0,10,1,VENICE
EMBLEM ACADEMY,140,121,86,15,2,2,2,SAUGUS
W. R. NELSON ELEMENTARY,140,136,97,1,0,3,0,TUSTIN
LAKE HILLS ELEMENTARY,140,132,94,4,1,3,0,RIVERSIDE
TIERRA LINDA ELEMENTARY,140,128,91,11,0,1,1,CAMARILLO
AMESTOY ELEMENTARY,139,60,43,79,0,0,0,GARDENA
LEO POLITI ELEMENTARY,139,139,100,0,0,0,0,LOS ANGELES
NINETY-SIXTH STREET ELEMENTARY,139,129,93,9,0,1,0,LOS ANGELES
LOMA VISTA ELEMENTARY,139,138,99,1,0,0,0,MAYWOOD
EL CERRITO ELEMENTARY,139,134,96,4,0,1,0,LA HABRA
HOME GARDENS ACADEMY,139,137,99,0,0,2,1,CORONA
HARMONY ELEMENTARY,139,133,96,4,0,2,0,HEMET
AVAXAT ELEMENTARY,139,126,91,3,0,10,1,MURRIETA
COYOTE CANYON ELEMENTARY,139,132,95,2,0,5,0,RANCHO CUCAMONGA
TERESA HUGHES ELEMENTARY,138,83,60,55,0,0,0,CUDAHY
WALNUT PARK ELEMENTARY,138,116,84,22,0,0,0,HUNTINGTON PARK
ALTA LOMA ELEMENTARY,138,102,74,34,0,2,0,LOS ANGELES
KIPP EMPOWER ACADEMY,138,134,97,4,0,0,0,LOS ANGELES
WEST VERNON AVENUE ELEMENTARY,138,116,84,22,0,0,0,LOS ANGELES
MATTIE LOU MAXWELL ELEMENTARY,138,130,94,6,0,2,0,ANAHEIM
FAIRMONT ELEMENTARY,138,128,93,5,0,5,0,YORBA LINDA
GARFIELD ELEMENTARY,138,136,99,2,0,0,0,SANTA ANA
CORONA RANCH ELEMENTARY,138,133,96,4,0,1,0,CORONA
LA JOLLA ELEMENTARY,138,127,92,8,0,3,2,MORENO VALLEY
PARK VIEW ELEMENTARY,138,107,78,28,0,3,0,VICTORVILLE
FRED L. WILLIAMS ELEMENTARY,138,134,97,4,0,0,0,OXNARD
ALEXANDRIA AVENUE ELEMENTARY,137,38,28,99,0,0,0,LOS ANGELES
CLOVER AVENUE ELEMENTARY,137,86,63,49,0,2,0,LOS ANGELES
MCKINLEY AVENUE ELEMENTARY,137,135,99,1,0,1,0,LOS ANGELES
RUSSELL ELEMENTARY,137,85,62,52,0,0,0,LOS ANGELES
DR. BERNICE JAMESON TODD ELEMENTARY,137,114,83,13,2,8,5,CORONA
PRADO VIEW ELEMENTARY,137,129,94,0,1,7,0,CORONA
"CLAYTON A. RECORD, JR., ELEMENTARY",137,132,96,0,0,5,5,SAN JACINTO
JOHN L. GOLDEN ELEMENTARY,137,131,96,1,0,5,0,ETIWANDA
HUNT ELEMENTARY,137,133,97,4,0,0,0,SAN BERNARDINO
JEFFERSON ELEMENTARY,136,136,100,0,0,0,0,LENNOX
KIPP VIDA PREPARATORY ACADEMY,136,88,65,48,0,0,0,LOS ANGELES
PORTER RANCH COMMUNITY,136,131,96,4,1,0,0,PORTER RANCH
WILBUR CHARTER FOR ENRICHED ACADEMICS,136,121,89,9,1,5,0,TARZANA
