"Carrier Name","Carrier Location","Carrier Status","Allowed to Operate","Watchlist Reason","Fleet Size","BASIC Status","SAFER Details"
"Centeno Charter","Cerritos, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=wPEBv77W/lQ=&DOCKET=BjsGVJF8hus=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=685617"
"Certified Transportation Services, Inc.","Santa Ana, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jh511G74xuU=&DOCKET=QSiIE0ir8Tc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=628202"
"Charter And Tour Systems","Redwood, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=vjg6PkxsLlo=&DOCKET=sXnwUM4KhlY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1591852"
"Charters America","Chula Vista, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=W5W69QmXygQ=&DOCKET=EOqKNkrP2Gk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2179203"
"Charters Bros","San Ramon, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=VGHhzJ1DA9s=&DOCKET=9VZUc/jxOio=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2069656"
"Classic Charter, Inc.","Visalia, CA","See BASIC Status Link","Yes",,3,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=oQ71wt5wbos=&DOCKET=spCd/EavjVY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=256002"
"Coach Max Corp.","E Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=CocSv3MHyzw=&DOCKET=YndbjimBpJ4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=676819"
"Coach West Express Inc","Temple City, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=EQXmnJ6dRzc=&DOCKET=IMT4xSQQ/TA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1621462"
"Complete Charter Lines, Inc.","Gardena, CA","See BASIC Status Link","Yes",,5,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=07JpOLXz6Lc=&DOCKET=i0QI+gM+N+4=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=243521"
"Cosmo Liner","South San Francisco, CA","See BASIC Status Link","Yes",,4,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ka+rFw4Rpus=&DOCKET=liJHh57PNow=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=916572"
"Coyote Express Inc","Arcadia, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=RDeRhfNFw48=&DOCKET=JrekTmCIaf0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1866464"
"Crystal Tours","Van Nuys, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=KOR2IgCEmUM=&DOCKET=/Uab6DA4uJk=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2130547"
"D&L Charter, Llc.","Los Angeles, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=8TxsVOuNinI=&DOCKET=t+q2WH2fkpE=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2146053"
"D.D. Tours Co., Inc","Monterey Park, CA","See BASIC Status Link","Yes",,9,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=Ety1OeQLY5k=&DOCKET=WijZOzcJWfA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1208980"
"Danny'S Express","San Francisco, CA","See BASIC Status Link","Yes",,6,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=SRE1o3kb2Gw=&DOCKET=JanV+yzKChY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=534074"
"Daytripping, Inc.","Santa Rosa, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=7V8RlUZy5Aw=&DOCKET=l9S4dqM/7dc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=291160"
"Delta Charter Service","Stockton, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ujd3hqIkaQo=&DOCKET=hf2UfI3FwGs=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=932151"
"Destination Systems","El Dorado Hills, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=ZIFPRUgad2c=&DOCKET=ac6PV4jE7XY=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=667652"
"Diamond Coach Tours","Antioch, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=F55AUQ5qSd4=&DOCKET=4kToLbrPvn0=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=831572"
"Dina'S Tours","San Dimas, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=xlbzGwTjDoI=&DOCKET=Yg2ao1ewtkc=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1928885"
"Discovery","Castroville, CA","See BASIC Status Link","Yes",,1,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=jGYujab7vTM=&DOCKET=UnmgEieCjj8=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=271814"
"Dj Prestige Inc","Arcadia, CA","See BASIC Status Link","Yes",,2,"http://ai.fmcsa.dot.gov/PassengerSearch/carrier_detail.aspx?DOT=EwnQBCmaHik=&DOCKET=PJ4buB9oecA=","http://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2318583"
