time,esc,board district,plocn,school name,school type,grades offered,graduating class,total students,meeting college requirements,missing one required course,missing two required courses,missing three or more required courses
April SY 14-15,W,4,8621,Fairfax Senior High ,S,9-12,2017,499,48%,16%,8%,27%
April SY 14-15,W,4,8621,Fairfax Senior High ,S,9-12,2018,561,43%,31%,14%,12%
April SY 14-15,XP,2,8611,Felicitas And Gonzalo Mendez Senior High ,S,9-12,2017,158,77%,13%,5%,6%
April SY 14-15,XP,2,8611,Felicitas And Gonzalo Mendez Senior High ,S,9-12,2018,287,70%,20%,9%,2%
April SY 14-15,W,1,8132,Foshay Learning Center ,EJ,K-12,2017,210,71%,16%,7%,6%
April SY 14-15,W,1,8132,Foshay Learning Center ,EJ,K-12,2018,213,98%,2%,0%,0%
April SY 14-15,XP,6,8636,Francis Polytechnic Senior High ,S,9-12,2017,748,57%,17%,13%,13%
April SY 14-15,XP,6,8636,Francis Polytechnic Senior High ,S,9-12,2018,757,76%,8%,10%,6%
April SY 14-15,E,2,8754,Francisco Bravo Senior High Medical Magnet ,SS,9-12,2017,465,74%,17%,6%,3%
April SY 14-15,E,2,8754,Francisco Bravo Senior High Medical Magnet ,SS,9-12,2018,454,82%,15%,3%,0%
April SY 14-15,XP,7,8650,Fremont Senior High ,S,9-12,2017,532,59%,20%,9%,12%
April SY 14-15,XP,7,8650,Fremont Senior High ,S,9-12,2018,554,62%,19%,13%,5%
April SY 14-15,E,2,8777,Frida Kahlo Continuation High ,C,9-12,2017,11,0%,27%,18%,55%
April SY 14-15,E,2,8777,Frida Kahlo Continuation High ,C,9-12,2018,2,0%,0%,0%,100%
April SY 14-15,XP,7,8664,Gardena Senior High ,S,9-12,2017,418,46%,17%,8%,29%
April SY 14-15,XP,7,8664,Gardena Senior High ,S,9-12,2018,420,65%,20%,10%,4%
April SY 14-15,N,3,8590,Grover Cleveland Charter High School ,S,9-12,2017,771,59%,13%,8%,20%
April SY 14-15,N,3,8590,Grover Cleveland Charter High School ,S,9-12,2018,866,41%,29%,14%,15%
